"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1152030437587345408","Fri Jul 19 01:45:00 +0000 2019","0","@kemkominfo @rudiantara_id Indonesia terus berkomitmen dalam menjamin #KebebasanPers dan yang paling utama mendukung terhadap sejumlah program-program pemberdayaan pekerja media. #BicaraBaik","1152031553905549312","","Nicholassekutt","in","","0","0","0","https://x.com/undefined/status/1152031553905549312","1083246308868030466",
"1152030437587345408","Fri Jul 19 01:42:29 +0000 2019","0","@kemkominfo @rudiantara_id #KebebasanPers diatur dalam UU no 40 tahun 1999 tentang Pers Pasal 4 ayat 1 yang berbunyi kemerdekaan pers dijamin sebagai hak asasi warga negara. #BicaraBaik","1152030917411557378","","Nicholassekutt","in","","0","1","0","https://x.com/undefined/status/1152030917411557378","1083246308868030466",
"1152030437587345408","Fri Jul 19 01:40:34 +0000 2019","0","Indahnya negeri ku ketika kebebasan pers dilindungi ketika hak-hak tegak.. #BicaraBaik #KebebasanPers https://t.co/dcAT90rSs2","1152030437587345408","https://pbs.twimg.com/media/D_zVkqOUEAEO4eD.jpg","","in","","0","1","0","https://x.com/undefined/status/1152030437587345408","1083246308868030466",
"1151864624318275584","Thu Jul 18 14:41:41 +0000 2019","0","Nah Indonesia berkomitmen mendukung &amp; meningkatkan upaya mengatasi kekerasan terhadap jurnalis melalui institusi multilateral asosiasi para jurnalis dan organisasi sipil. #BicaraBaik #KebebasanPers","1151864624318275584","","","in","","0","0","0","https://x.com/undefined/status/1151864624318275584","59925877",
"1151864196499304448","Thu Jul 18 14:39:59 +0000 2019","0","Nah kekerasan ini bentuknya bisa pengusiran serangan fisik hingga pemidanaan karya jurnalistik. Duuuh kasihan kan jurnalis yang mengalami ini #BicaraBaik #KebebasanPers","1151864196499304448","","","in","","0","0","0","https://x.com/undefined/status/1151864196499304448","59925877",
"1151863650472173569","Thu Jul 18 14:37:49 +0000 2019","0","Ya memang ga bisa dipungkiri dalam menjalankan tugasnya seorang jurnalis rentan mendapat kekerasan &amp; persekusi. Di Indonesia terjadi peningkatan dalam beberapa tahun terakhir #BicaraBaik #KebebasanPers","1151863650472173569","","","in","","0","0","0","https://x.com/undefined/status/1151863650472173569","59925877",
"1151862364813217792","Thu Jul 18 14:32:42 +0000 2019","1","Yuhuu guys. Tahu ga kalau Indonesia mendukung rancangan Internasional untuk Kebebasan Media lho #BicaraBaik #KebebasanPers https://t.co/5DqneKJyre","1151862364813217792","","","in","","0","0","1","https://x.com/undefined/status/1151862364813217792","59925877",
"1151861764914466816","Thu Jul 18 14:30:19 +0000 2019","2","Ya saya sepakat dgn menteri @rudiantara_id Smoga melalui Global Conference on Media Freedom eksistensi media smakin positif dan terus memberikan kontribusi nyata bagi dunia. Aamiin #KebebasanPers #BicaraBaik","1151861764914466816","","","in","","0","0","1","https://x.com/undefined/status/1151861764914466816","2539299234",
"1151861267906232320","Thu Jul 18 14:28:21 +0000 2019","2","FYI aja #KebebasanPers dijamin sbg hak konstitusional dan diatur dlm UU N.40/1999 tentang Pers Pasal 4 ayat 1 yg menyatakan kemerdekaan pers dijamin sbg hak asasi warga negara #BicaraBaik","1151861267906232320","","","in","","0","0","1","https://x.com/undefined/status/1151861267906232320","2539299234",
"1151860129794424834","Thu Jul 18 14:23:50 +0000 2019","1","Btw Global Conference on media freedom ini merupakan wujud komitmen negara2 di dunia utk menyusun komitmen bersama thd peningkatan kualitas SDM #KebebasanPers #BicaraBaik","1151860129794424834","","","in","","0","0","1","https://x.com/undefined/status/1151860129794424834","2539299234",
"1151859455555825664","Thu Jul 18 14:21:09 +0000 2019","1","Oh ya twips bukan hanya jurnalis aja yg didukung #KebebasanPers nya tp juga jurnalisme warga atau citizen jornalism lho #BicaraBaik","1151859455555825664","","","in","","0","0","1","https://x.com/undefined/status/1151859455555825664","2539299234",
"1151858853639626754","Thu Jul 18 14:18:46 +0000 2019","1","Makanya akses layanan hukum dan berbagai pelatihan harus didukung diperjuangkan terus oleh pemerintah. Ini adalah komitmen penuh #KebebasanPers #BicaraBaik","1151858854939856900","","mba_diahworo","in","","0","0","1","https://x.com/undefined/status/1151858854939856900","2539299234",
"1151858853639626754","Thu Jul 18 14:18:45 +0000 2019","1","Dengan begitu jelas deh kalau pemerintah bener2 berkomitmen atas kebebasan pers #KebebasanPers #BicaraBaik","1151858853639626754","","","in","","0","1","1","https://x.com/undefined/status/1151858853639626754","2539299234",
"1151857600008298497","Thu Jul 18 14:13:46 +0000 2019","2","Yuk baca ah https://t.co/jZtuR3qq1L #KebebasanPers #BicaraBaik","1151857600008298497","","","in","","0","0","1","https://x.com/undefined/status/1151857600008298497","2539299234",
"1151856887056330754","Thu Jul 18 14:10:56 +0000 2019","1","Menurut menteri @rudiantara_id hak kebebasan media dalam memberikan informasi dan memastikan masyarakat menerima informasi dgn baik sudah semestinya dilindungi #KebebasanPers #BicaraBaik","1151856887056330754","","","in","","0","0","1","https://x.com/undefined/status/1151856887056330754","2539299234",
"1151856276042743809","Thu Jul 18 14:08:31 +0000 2019","2","Dalam global conference on media freedom di London menteri @rudiantara_id juga mengatakan agar media dan jurnalis dpt menjadi sumber terpercaya di kalangan masyarakat utk mendaptkan informasi terpercaya cepat dan akurat #KebebasanPers #BicaraBaik","1151856276042743809","","","in","","0","0","1","https://x.com/undefined/status/1151856276042743809","2539299234",
"1151855355602718720","Thu Jul 18 14:04:51 +0000 2019","1","Kementrian Kominfo berkomitmen utk memerangi peredaran hoax melalui berbagai cara. Salah satunya adl bekerjasama dgn penegak hukum #KebebasanPers #BicaraBaik","1151855355602718720","","","in","","0","0","1","https://x.com/undefined/status/1151855355602718720","2539299234",
"1151854945924255745","Thu Jul 18 14:03:14 +0000 2019","1","Lantas apa yg dilakukan Pemerintah utk memberantas hoax? Berikut tiga caranya #KebebasanPers #BicaraBaik https://t.co/FhtKrIXWDz","1151854945924255745","https://pbs.twimg.com/media/D_w19elUIAELe8I.jpg","","in","","0","0","1","https://x.com/undefined/status/1151854945924255745","2539299234",
"1151854317613113344","Thu Jul 18 14:00:44 +0000 2019","1","Salah satu outputnya nanti utk menciptakan kerangka nasional dan perencanaan aksi demi keamanan teman teman jurnalis kata @rudiantara_id #KebebasanPers #BicaraBaik","1151854319022428160","","mba_diahworo","in","","0","0","1","https://x.com/undefined/status/1151854319022428160","2539299234",
"1151854317613113344","Thu Jul 18 14:00:44 +0000 2019","1","Tujuan ini bagus kan? Krn ini smua akan menunjukkan adanya solidaritas Pemerintah bersama dgn ekosistem di pers #KebebasanPers #BicaraBaik","1151854317613113344","","","in","","0","1","1","https://x.com/undefined/status/1151854317613113344","2539299234",
"1151853226083250176","Thu Jul 18 13:56:24 +0000 2019","1","Pemerintah juga berkomitmen memperkuat kebebasan media termasuk bersinergi dgn masyarakat sipil organisasi media para ahli komunikasi dll utk membuat rencana visioner #KebebasanPers #BicaraBaik","1151853226083250176","","","in","","0","0","1","https://x.com/undefined/status/1151853226083250176","2539299234",
"1151827588362334208","Thu Jul 18 12:14:32 +0000 2019","0","Cara-caranya ada di link ini : https://t.co/LrRPgdk014 #KebebasanPers #BicaraBaik","1151827590677536773","","baciritaID","in","","0","1","1","https://x.com/undefined/status/1151827590677536773","921087224",
"1151827588362334208","Thu Jul 18 12:14:31 +0000 2019","0","Kan udah pada tau kalau belakangan ini banyak beredar hoax. Trus bagaimana cara memberantas hoax ini? --Sebuah Utas-- #BicaraBaik #KebebasanPers https://t.co/szSNdYlHau","1151827588362334208","https://pbs.twimg.com/media/D_wcxMlUYAAJj0D.jpg","","in","","0","1","1","https://x.com/undefined/status/1151827588362334208","921087224",
"1151818835013451776","Thu Jul 18 11:39:50 +0000 2019","1","Dengan dukungan ini menunjukkan bahwa ada solidaritas pemerintah bersama dengan ekosistem pers #bicarabaik #kebebasanpers https://t.co/IaCiQZijos","1151818858874859520","https://pbs.twimg.com/media/D_wVI1XVUAAIE8I.jpg","LisaSelv9","in","","0","0","0","https://x.com/undefined/status/1151818858874859520","881836922410115072",
"1151818835013451776","Thu Jul 18 11:39:45 +0000 2019","0","Nah ternyata negara tidak tinggal diam untuk menanggulangi hal ini. Tidak tanggung-tanggung justru ditunjukkan dengan mendukung rancangan internasional untuk kebebasan media #bicarabaik #kebebasanpers","1151818838947708930","","LisaSelv9","in","","0","1","0","https://x.com/undefined/status/1151818838947708930","881836922410115072",
"1151818835013451776","Thu Jul 18 11:39:45 +0000 2019","0","Memang profesi jurnalis mudah dipersekusi. Dimulai mendapat pengusiran serangan fisik hingga pemidanaan karya jurnalistiknya #bicarabaik #kebebasanpers","1151818837148389376","","LisaSelv9","in","","0","1","0","https://x.com/undefined/status/1151818837148389376","881836922410115072",
"1151818835013451776","Thu Jul 18 11:39:44 +0000 2019","2","Katanya siapa pemerintah suka membatasi peran media ? Cek artikel ini dulu ##bicarabaik #kebebasanpers https://t.co/7q6R1uuOTt","1151818835013451776","","","in","","0","1","1","https://x.com/undefined/status/1151818835013451776","881836922410115072",
"1151803980650991617","Thu Jul 18 10:40:43 +0000 2019","0","Indonesia mendukung upaya dunia internasional membangun jaringan dukungan untuk teman-teman jurnalis mendukung citizen journalism. Termasuk dalam mengatur konflik dan pascakonflik. Rudiantara Menteri Kominfo RI. #BicaraBaik #KebebasanPers https://t.co/5oeoiIp8d0","1151803980650991617","https://pbs.twimg.com/media/D_wGedCUIAAfDB6.jpg","","in","","0","0","0","https://x.com/undefined/status/1151803980650991617","372174590",
"1151758057891749888","Thu Jul 18 07:45:10 +0000 2019","0"," Semoga melalui Global Conference for Media Freedom eksistensi media semakin positif dan terus memberikan kontribusi nyata bagi dunia Menteri Kominfo Rudiantara #BicaraBaik #KebebasanPers","1151759802256650243","","ulihape","in","","0","1","0","https://x.com/undefined/status/1151759802256650243","45515710",
"1151758057891749888","Thu Jul 18 07:44:20 +0000 2019","0","Di Indonesia sendiri kebebasan pers dijamin sebagai hak konstitusional diatur dalam UU N.40/1999 tentang Pers Pasal 4 ayat 1 yang menyatakan bahwa kemerdekaan pers dijamin sebagai hak asasi warga Negara #BicaraBaik #KebebasanPers","1151759595255152640","","ulihape","in","","0","1","0","https://x.com/undefined/status/1151759595255152640","45515710",
"1151758057891749888","Thu Jul 18 07:44:06 +0000 2019","0","Global Conference for Media Freedom yang digelar oleh pemerintah Inggris dan Kanada ditujukan untuk menyusun komitmen bersama terhadap perlindungan jurnalis dalam menjalankan tugas #BicaraBaik #KebebasanPers","1151759534513250304","","ulihape","in","","0","1","0","https://x.com/undefined/status/1151759534513250304","45515710",
"1151758057891749888","Thu Jul 18 07:43:45 +0000 2019","0","Rudiantara saat di London menyatakan pemerintah terus berkomitmen untuk melindungi hak-hak kebebasan media dalam memberikan informasi sekaligus memastikan masyarakat menerima informasi dengan baik #BicaraBaik #KebebasanPers","1151759445388476417","","ulihape","in","","0","1","0","https://x.com/undefined/status/1151759445388476417","45515710",
"1151758057891749888","Thu Jul 18 07:43:26 +0000 2019","0","Menteri Kominfo Rudiantara di Global Conference on Media Freedom di London Inggris menyatakan media dan jurnalis dapat membantu masyarakat untuk mendapatkan informasi secara cepat dan akurat. #BicaraBaik #KebebasanPers","1151759366590042112","","ulihape","in","","0","1","0","https://x.com/undefined/status/1151759366590042112","45515710",
"1151758057891749888","Thu Jul 18 07:43:10 +0000 2019","0","Kementerian Kominfo berkomitmen untuk terus memerangi peredaran berita palsu atau hoax melalui berbagai cara termasuk salah satunya bekerja sama dengan penegak hukum #BicaraBaik #KebebasanPers","1151759299682508800","","ulihape","in","","0","1","0","https://x.com/undefined/status/1151759299682508800","45515710",
"1151758057891749888","Thu Jul 18 07:42:50 +0000 2019","0","Menteri Rudiantara menjelaskan rancangan internasional yang digagas tersebut sebagai upaya yang didorong semua negara peserta konferensi global melalui PBB dan organisasi internasional lainnya #BicaraBaik #KebebasanPers","1151759216601780224","","ulihape","in","","0","1","0","https://x.com/undefined/status/1151759216601780224","45515710",
"1151758057891749888","Thu Jul 18 07:42:27 +0000 2019","0","Pemerintah juga berkomitmen untuk memperkuat kebebasan media. Termasuk bersinergi bersama masyarakat sipil organisasi media para ahli komunikasi dan lain sebagainya untuk membuat berbagai rencana visioner #BicaraBaik #KebebasanPers","1151759121873424385","","ulihape","in","","0","1","0","https://x.com/undefined/status/1151759121873424385","45515710",
"1151758057891749888","Thu Jul 18 07:42:04 +0000 2019","0","Indonesia turut berkomitmen untuk mendukung dan meningkatkan upaya mengatasi kekerasan terhadap jurnalis melalui institusi multilateral asosiasi para jurnalis dan organisasi sipil. #BicaraBaik #KebebasanPers","1151759022401306625","","ulihape","in","","0","1","0","https://x.com/undefined/status/1151759022401306625","45515710",
"1151758057891749888","Thu Jul 18 07:41:49 +0000 2019","0","Adapun yang dimaksud kategori kekerasan mencakup pengusiran serangan fisik hingga pemidanaan karya jurnalistik. #BicaraBaik #KebebasanPers","1151758961420275712","","ulihape","in","","0","1","0","https://x.com/undefined/status/1151758961420275712","45515710",
